"GSM2462948","GSM2462949","GSM2462950","GSM2462951","GSM2462952","GSM2462953","GSM2462954","GSM2462955","GSM2462956","GSM2462957","GSM2462958","GSM2462959","GSM2462960","GSM2462961","GSM2462962","GSM2462963","GSM2462964","GSM2462965","GSM2462966","GSM2462967"
"1416582_a_at",167.538,177.471,232.981,110.071,234.352,218.687,347.349,225.628,197.739,444.575,350.809,331.011,445.75,307.522,234.244,193.752,235.938,240.056,267.095,150.348
"1416583_at",76.0952,98.9816,73.9881,50.1919,100.509,90.4781,155.572,97.7344,152.641,155.491,156.866,171.304,193.904,165.591,169.416,107.262,92.7635,109.884,127.483,94.7126
"1416584_at",47.3358,82.0968,78.6856,55.2839,70.4164,63.6697,103.188,86.9457,113.151,83.3758,54.7444,81.5879,103.105,80.3322,92.672,78.3799,67.2351,76.8819,92.914,86.5849
"1416585_at",134.147,173.832,122.189,115.792,169.86,135.113,169.11,163.223,208.885,228.114,194.838,175.276,207.182,184.185,220.357,142.801,149.8,145.994,189.949,167.522
"1416586_at",11.7553,26.4582,22.1086,11.9089,26.8398,18.4126,18.3093,21.3659,10.4988,15.7681,29.6564,40.006,44.1288,28.235,25.1134,15.4384,19.8129,21.9842,40.221,44.9159
"1416587_a_at",93.6357,95.2314,86.3111,70.1326,129.996,153.131,151.492,106.843,127.16,128.552,114.632,140.964,158.414,121.256,149.419,110.383,127.449,87.9421,111.276,140.498
"1416588_at",2.12701,3.76528,11.723,1.60973,3.29023,2.08478,4.15033,1.88792,6.8579,3.99217,12.7192,4.42221,4.43574,3.7823,7.7528,4.7318,4.64029,2.7051,2.20407,3.76024
"1416589_at",202.459,186.968,212.589,234.486,315.966,474.256,1399.86,496.889,826.857,876.04,831.811,1242.88,513.812,875.087,878.362,516.96,501.247,459.257,557.043,1052.77
"1416590_a_at",71.4836,158.668,84.611,57.6535,151.073,55.3217,180.869,72.9829,106.414,111.75,153.908,142.626,114.828,138.33,115.913,72.0981,34.4164,79.7819,73.9176,187.489
"1416591_at",114.469,219.915,137.567,109.621,181.889,77.5127,211.309,108.466,151.689,120.812,206.716,190.479,147.949,149.992,173.339,57.7208,69.8116,84.1366,111.733,178.409
"1416592_at",646.029,1005.18,969.206,748.739,1030.17,571.213,600.655,549.362,940.513,813.469,677.682,646.408,504.628,680.858,681.742,611.252,627.996,710.299,516.648,582.805
"1416593_at",215.989,282.271,320.895,278.021,389.576,252.101,316.127,313.593,453.467,443.375,336.761,342.259,278.601,410.615,381.293,252.423,265.755,339.707,302.379,247.547
"1416594_at",1.16496,1.72698,2.95227,0.936762,2.53568,2.6657,2.16122,1.19762,2.04308,1.52556,2.68698,1.55957,3.3297,1.6155,1.01781,0.839518,1.94857,0.724752,1.98466,2.855
"1416595_at",254.449,335.601,282.324,236.703,462.328,426.455,356.355,388.308,498.254,545.673,478.325,451.84,518.531,467.907,495.884,354.879,345.776,348.38,420.697,378.287
"1416596_at",2.17123,10.393,23.9355,9.134,19.9435,3.0232,21.0879,1.37805,1.72151,12.178,17.0863,19.2213,28.4692,13.4457,1.41036,18.4552,10.8557,1.54218,36.1316,27.6051
"1416597_at",49.1184,50.8222,48.4957,38.3254,41.7793,56.5191,43.9517,60.7135,73.4625,74.9741,91.5824,67.9978,64.8449,54.0071,62.5132,47.548,40.1379,53.1283,49.6437,56.3493
"1416598_at",16.1304,17.7436,24.4556,23.2957,28.0956,24.0229,54.6289,34.2455,36.816,33.2384,43.8922,42.7456,36.3574,43.8468,58.7393,23.0766,31.7914,22.2468,37.9664,36.2052
"1416599_at",46.4466,70.2394,93.5648,63.7193,90.8482,86.1793,88.1599,56.0326,75.6128,65.2201,67.6538,94.5586,93.7946,77.1878,88.8487,49.1827,62.0237,56.7767,96.7922,35.6318
"1416600_a_at",257.867,432.755,370.554,271.437,398.946,227.85,464.036,308.62,456.283,359.411,375.295,413.67,376.038,439.598,353.227,362.638,270.658,268.967,226.312,508.183
"1416601_a_at",10.9039,3.317,15.8601,9.20082,2.79259,19.1161,54.7006,36.073,64.3535,45.6604,30.4699,47.6563,40.624,34.7598,37.9097,22.7426,21.6843,21.7351,27.6473,36.0922
"1416602_a_at",13.1555,31.1416,26.5547,17.4425,34.2205,25.377,25.1528,23.9998,30.958,22.9755,24.1647,25.0811,35.84,32.7312,28.8172,29.7863,22.5582,22.2875,27.5308,25.2417
"1416603_at",1151.91,1695.35,1132.41,1570.25,2157.37,882.381,1368.48,1086.61,1457.64,1497.1,1298.51,1577.52,1310.86,1323.94,1641.86,1334.35,1319.56,1194.17,1712.28,1208.47
"1416604_at",3308.85,3590.85,2706.67,2587.14,3686.23,2497.97,2542.04,2671.08,2849.1,3113.49,2910.22,2693.6,3436.47,2536.81,3114.45,2659.2,2682.51,2651.11,2913.77,2795.51
"1416605_at",210.48,337.855,263.878,194.889,295.255,241.025,297.175,259.604,406.193,358.345,318.422,366.514,359.302,370.605,385.835,251.788,236.922,248.186,341.954,312.836
"1416606_s_at",611.81,693.984,559.182,463.552,770.417,535.042,628.773,489.654,683.682,652.759,738.409,749.368,701.718,614.125,791.858,503.881,460.289,544.668,579.094,616.488
"1416607_at",3181.98,3722.8,3222.21,3200.16,4071.9,2828.51,2752.72,2718.5,3311.63,3004.86,2712.97,2482.7,3296.58,3049.44,3194.94,2938.3,3319.17,2579.58,3298.72,3141.29
"1416608_a_at",1732.6,1470.81,1385.56,1041.26,2885,1376.62,1642.63,1264.3,2254.51,2368.94,1999.51,1577.06,1899.55,1777.34,2208.36,1587,1404.58,1365.56,1497.29,1314.3
"1416609_at",899.347,767.632,664.573,498.445,1328,862.638,1002.56,1011.89,1217.17,1235.57,1048.68,1062.15,884.615,1058.69,1090.69,902.813,1028.99,950.195,980.322,1066.06
"1416610_a_at",177.512,206.767,147.848,103.714,263.249,219.51,261.381,251.051,346.476,310.802,307.93,308.891,312.755,282.332,316.347,200.076,230.932,230.518,252.611,248.63
"1416611_at",187.935,302.573,222.899,201.726,299.856,260.793,350.18,280.37,327.1,294.508,316.936,360.668,310.196,347.318,315.258,271.731,232.359,233.446,293.305,326.55
"1416612_at",11.9497,16.543,13.7176,15.4933,15.3464,43.7529,92.7892,37.0589,41.4278,44.8257,64.9672,91.734,40.1816,56.7462,63.555,11.616,43.7954,45.0736,71.8268,108.68
"1416613_at",3.24732,4.29292,3.5904,3.65717,4.39742,6.9662,12.9329,13.0174,9.53943,13.6787,13.2779,22.3116,9.43869,18.5076,22.5526,3.84131,8.77512,11.985,15.7637,16.4498
"1416614_at",47.9617,69.3546,52.6263,60.1256,113.664,149.337,271.33,135.565,294.92,214.395,216.129,306.414,182.055,266.508,265.884,141.585,137.057,118.067,190.156,256.16
"1416615_at",503.927,731.303,566.764,474.237,805.855,592.488,619.096,677.99,708.002,797.388,702.316,692.515,844.31,674.959,778.26,624.616,613.75,681.079,764.85,564.941
"1416616_s_at",752.547,1019.73,681.496,609.181,979.455,559.504,615.04,580.797,807.408,854.422,752.489,667.828,831.739,690.02,812.087,725.193,583.755,643.014,674.861,704.49
"1416617_at",3.15242,13.7513,10.6554,2.93899,5.16783,12.9354,27.5038,13.2795,16.2734,16.5869,18.8192,29.3318,13.0178,15.6678,19.0057,11.7973,15.0198,7.28044,20.4301,23.7613
"1416618_at",86.6448,136.221,128.073,85.057,142.76,157.648,99.5221,137.529,121.615,154.056,118.039,112.272,138.135,120.412,159.488,100.142,103.65,85.0377,118.542,94.5765
"1416619_at",21.1959,37.3294,29.4763,28.752,45.3374,76.85,149.913,76.109,107.103,104.718,74.6117,134.258,61.9001,124.081,111.697,61.6162,65.3569,66.6231,74.9271,145.094
"1416620_at",71.6247,79.9414,59.5643,43.554,94.1189,98.9843,113.503,104.994,111.554,126.613,101.077,93.588,88.122,111.267,102.673,85.7112,90.1453,82.9553,99.1475,102.955
"1416621_at",98.3919,113.368,78.8023,71.5547,159.002,131.564,190.745,116.302,156.363,128.004,161.468,182.175,166.787,179.421,205.495,115.803,93.8236,140.629,121.79,137.076
"1416622_at",78.3623,109.207,98.2776,116.994,127.61,136.873,128.798,107.396,152.636,158.691,145.602,115.405,155.04,121.682,141.898,110.935,91.3958,101.716,122.254,105.891
"1416623_at",1.26136,2.72025,3.43099,4.72651,1.66751,0.720985,2.50704,2.1206,1.08604,5.76777,9.18523,8.94801,6.30178,1.76315,4.46189,2.24012,9.68477,1.56567,21.3903,5.39977
"1416624_a_at",9555.85,9768.73,8825.75,8551.89,9915.31,8462.17,9102.51,9244.67,9570.57,9537.88,9135.35,8792.69,9551.03,9243.09,9184.07,8681.51,8420.4,8355.28,8751.22,8457.18
"1416625_at",5850.91,8768.03,7168,6993.25,7117.23,7851.38,7759.19,7877.69,8926.29,9420.46,8858.09,8338.81,9746.53,8288.42,9257.13,7635.48,7382.55,7685.58,8032.76,6659.02
"1416626_at",1.16809,3.78906,1.24339,0.930702,0.619763,0.799047,1.49897,0.823119,0.965767,4.59223,1.29722,2.137,18.3929,3.40762,3.92804,1.557,1.08605,1.97327,2.3594,0.5918
"1416627_at",18.2028,29.4831,24.2093,14.9726,27.1767,20.6446,41.2407,19.5383,20.4775,31.9645,25.7287,48.0708,30.5354,30.4137,31.2068,28.773,21.5311,26.2762,46.2067,41.6233
"1416628_at",351.147,539.136,474.133,300.812,535.767,465.639,488.439,480.481,595.29,648.239,633.543,551.828,587.395,565.554,601.97,420.01,426.949,385.385,512.843,487.833
"1416629_at",7.10584,37.002,16.3162,11.723,17.2209,21.7285,45.647,22.622,19.0648,54.8184,50.6461,41.3319,26.6225,34.5395,38.0686,33.1559,14.4049,19.9417,26.7671,33.5093
"1416630_at",90.7532,91.6236,77.6084,66.289,377.473,514.015,1002.51,774.263,387.64,609.99,436.869,883.609,263.691,476.11,461.266,438.405,263.398,367.825,262.858,700.757
"1416631_at",158.895,190.083,203.743,164.486,255.257,234.947,248.342,230.152,292.113,312.083,226.306,167.16,200.385,241.133,268.821,200.786,199.655,166.507,152.445,159.283
"1416632_at",526.435,554.904,438.072,376.155,869.181,206.09,292.576,225.286,274.018,283.542,360.312,227.755,308.168,333.819,235.36,205.125,278.724,188.704,161,359.884
"1416633_a_at",1140.19,1833.23,1247.58,1203.65,2147.81,1677.17,1917.85,1798.74,2859.84,2814.39,2483.05,2585.2,2685.21,2416.24,2663.74,1837.34,1593.74,1884.69,2332.31,2026.22
"1416634_at",503.498,606.435,574.137,435.946,795.138,740.231,853.83,715.735,1112.34,1035.69,959.977,928.451,979.296,906.309,1021.17,745.957,624.015,759.854,770.208,797.584
"1416635_at",337.847,412.433,436.318,457.149,510.444,579.506,864.997,723.213,815.634,801.055,726.254,646.792,637.719,797.894,746.619,456.756,368.801,488.209,500.115,715.83
"1416636_at",1274.02,1369.44,896.926,1029.56,1528.45,1387.9,1551.61,1391.37,1832.7,1887.45,1494.59,1534.63,1656.55,1431.53,1582.04,1133.89,1180.62,1258.16,1329.17,1296.83
"1416637_at",78.3188,263.032,183.3,102.343,233.92,102.326,163.276,75.0415,127.312,174.759,172.365,141.941,161.975,147.391,190.117,182.013,115.733,143.476,145.272,179.347
"1416638_at",18.5969,43.0493,28.0532,22.6176,32.4909,25.9868,33.5968,23.8926,26.1728,42.6093,59.27,49.5592,60.6336,43.4592,39.3986,27.2555,24.0958,31.007,25.4228,28.1896
"1416639_at",64.0504,106.666,82.5577,54.0495,40.1293,63.6129,39.3681,37.4156,56.6655,86.4254,51.6764,40.5262,59.9441,44.2051,47.457,50.7955,48.6254,54.7014,74.2298,25.3387
"1416640_at",0.61524,0.845737,0.916978,1.33169,1.76388,6.43933,1.16899,1.74008,2.45181,1.4894,1.56772,1.6992,0.887681,0.769917,1.01405,1.23526,0.763332,0.933581,1.14742,0.445697
"1416641_at",22.2587,40.349,27.4936,44.7684,46.562,29.6566,54.0355,38.0768,62.7107,53.6098,68.5305,73.9648,51.7602,56.2785,63.6086,40.8727,42.2134,27.7261,42.9934,52.9608
"1416642_a_at",11104,10921.9,11116.6,10340.1,12192.7,10971.1,10772.8,10995.6,11704.4,11507.7,11602.8,11174.8,11467.4,11241.7,11657.1,10522.6,10231.1,10569.7,10504.7,10264.5
"1416643_at",0.665405,10.1805,11.6226,3.68885,6.13946,2.52356,2.24401,1.17465,2.36649,1.80199,1.68819,7.02786,2.28647,13.209,5.81443,2.50701,1.00639,3.86154,5.25689,9.09153
"1416644_a_at",1.94236,0.819661,0.915843,0.62826,1.11406,1.06779,2.31223,1.46659,0.95906,0.826117,3.55696,3.22804,2.64169,2.45764,1.02192,1.97711,2.51887,0.739122,2.5516,2.14596
"1416645_a_at",8.1793,13.0342,12.2423,14.061,6.22706,10.8911,33.1561,19.2342,21.1798,7.83992,15.9482,27.3352,12.8801,26.5513,23.4315,7.2663,7.19923,15.2452,16.855,24.6492
"1416646_at",8.04522,10.7716,2.06266,4.78719,10.6039,2.64012,13.6308,1.33927,7.39154,6.5761,12.3109,1.35987,9.5358,2.60942,15.6672,4.05175,7.41925,7.48347,13.7587,15.4568
"1416647_at",1061.39,1587.64,1195.31,1114.12,1578.29,1004.04,1128.23,1049.82,1260.56,1386.53,1155.71,1217.99,1300.72,1165.19,1298.06,1130.03,1033.65,939.242,1214.44,1049.54
"1416648_at",562.655,610.81,550.051,481.596,798.965,484.378,762.381,498.054,700.903,781.174,857.68,725.492,749.43,757.615,819.37,714.013,559.681,581.839,542.791,815.976
"1416649_at",8405.31,10130.8,9605.42,8392.11,10575.5,9732.12,10184.4,10022.8,10488,10757.9,10709.9,10123.2,10709.9,10483,10245.1,9847.25,9458.8,9880.09,9394.3,9455.02
"1416650_at",1.15869,1.16003,0.83313,0.681183,0.88547,0.541181,5.55878,0.388776,0.656948,0.574122,0.345437,0.50183,0.632742,0.525234,0.606529,4.92862,0.704747,0.658548,8.19931,1.02483
"1416651_at",214.489,273.608,221.534,147.987,320.38,265.284,294.478,253.655,305.103,338.431,341.365,328.297,390.345,287.827,338.921,276.142,239.353,298.102,294.378,298.609
"1416652_at",4.94488,7.90571,11.0936,6.04281,9.50537,6.15638,1.85124,0.726885,4.29028,10.5096,6.63405,6.91344,4.75423,7.57873,1.70476,6.13035,5.36284,11.3495,10.1305,9.64453
"1416653_at",179.051,276.736,209.945,185.616,331.307,346.167,444.504,338.353,432.169,429.627,421.894,401.66,322.013,388.996,443.951,280.273,320.434,285.557,342.353,397.473
"1416654_at",54.7951,51.7161,32.9822,37.3748,80.0052,75.5441,107.932,61.6046,90.8839,82.5301,120.265,151.412,69.1163,135.124,122.653,61.1236,84.2088,83.979,97.5295,61.1404
"1416655_at",546.559,720.394,517.103,471.998,915.087,847.262,835.099,866.443,1228.08,1278.37,1082.31,966.505,1022.3,1018.14,1070.81,727.615,746.626,808.38,841.687,795.349
"1416656_at",78.3956,120.59,136.098,99.9789,169.525,253.894,591.607,335.896,393.696,357.165,558.036,589.371,334.682,551.231,403.738,373.625,232.687,259.198,317.361,428.003
"1416657_at",145.076,243.361,217.451,170.192,254.39,184.453,317.047,204.453,290.026,272.56,348.786,321.496,301.304,288.867,325.043,253.012,183.754,204.135,214.549,242.587
"1416658_at",9.3818,11.3655,17.5149,8.87313,13.5809,42.5099,102.247,48.2785,51.1502,71.0817,80.3902,119.382,38.2522,69.2589,75.135,29.2349,29.0924,30.8424,33.7888,107.483
"1416659_at",598.494,764.387,555.776,534.667,847.344,774.897,977.879,766.483,1056.79,1123.83,982.424,939.306,1048.38,1008.75,1138.57,708.321,740.652,714.066,911.26,949.231
"1416660_at",75.1648,88.8381,49.045,32.7124,72.8838,166.63,192.529,158.843,211.752,201.423,157.324,146.106,127.671,175.12,209.782,93.3573,83.7598,110.339,125.188,112.52
"1416661_at",84.5707,60.3538,37.5832,18.7711,50.3832,52.6671,66.1723,57.3372,81.9286,79.8575,55.2263,55.537,40.8119,59.6487,119.714,27.3627,18.9934,24.8344,43.1868,47.237
"1416662_at",2048.9,2855.05,2273.04,2221.6,2587.4,1913.3,1635.17,2083.64,2037.08,2245.33,1781.17,1629.14,2517.36,1789.35,2010.94,2225.05,2138.57,1753.64,2430.31,1553.93
"1416663_at",2067.4,2702.8,1896.87,2006.47,2612.84,2288.23,2147.13,2240.04,2655,2645.11,2561.4,2177.39,3167.67,2226.29,2581.94,2163.82,2272.75,2164.4,2603.94,2019.92
"1416664_at",20.7302,30.0154,16.6934,17.7856,19.7017,37.5771,145.751,39.0271,31.7196,34.1186,38.5862,83.0772,52.2092,97.8295,40.6871,39.8284,25.0232,23.5745,46.3927,90.8903
"1416665_at",596.587,825.056,742.575,644.741,634.244,535.642,616.548,582.018,742.263,774.303,711.198,669.479,780.579,680.669,700.123,710.013,541.32,576.974,706.235,720.012
"1416666_at",286.545,138.944,231.558,149.616,284.832,476.914,464.15,363.605,391.568,519.552,403.918,447.42,385.085,447.66,349.241,323.411,333.697,490.365,453.507,370.973
"1416667_at",2291.38,2967.16,2280.32,2191.23,2983.24,2490.98,2141.21,2492.82,2701.62,3040.56,2380.31,2095.7,3052.16,2405.34,2664.01,2437.33,2428.67,2222.22,2671.17,1854.88
"1416668_at",599.963,747.512,519.488,438.561,655.009,666.638,666.958,745.528,881.316,871.23,857.025,761.405,847.218,723.625,859.991,711.769,610.093,598.356,711.223,682.292
"1416669_s_at",3192.97,4603.29,3190.32,3007.11,4600.15,3266.46,3760.73,3867.99,4643.06,4669.43,4462.69,4344.93,4238.15,4472.94,4554.8,3582.1,3634.7,3452.76,4141.32,3674.54
"1416670_at",1.86447,1.45851,0.897128,0.949449,2.09195,2.08618,1.31476,2.43932,2.74652,1.91031,0.865233,0.631594,2.25694,0.969296,1.69883,1.10427,2.2399,2.19623,1.43356,1.05041
"1416671_a_at",129.909,240.001,191.514,177.242,192.054,143.392,153.339,143.285,165.194,182.565,182.575,194.814,196.834,176.831,182.172,148.039,130.202,167.773,159.34,162.15
"1416672_s_at",204.404,406.12,296.382,261.431,312.138,252.389,269.322,283.851,277.399,347.441,340.275,347.291,286.299,292.666,329.348,253.605,217.872,248.821,220.152,254.887
"1416673_at",21.3922,29.4332,43.2696,32.2882,23.1832,54.4354,59.7253,56.4408,52.0627,52.1444,54.8798,44.9743,35.825,61.1811,50.3152,35.8933,35.1617,36.9367,62.5043,48.1004
"1416674_at",30.479,36.9898,25.5537,5.57224,21.3867,24.3121,22.6573,23.3768,29.9455,43.248,25.7553,37.9584,59.9849,38.1386,41.9793,21.8006,21.623,28.1197,51.2318,32.6045
"1416675_s_at",6.22559,6.9915,10.0809,2.85883,5.52717,10.3217,20.0051,16.8391,12.4654,12.0745,12.3809,17.6321,13.8562,27.4112,13.7935,13.6038,8.83958,11.3575,14.2176,16.8422
"1416676_at",8547.26,10918.3,9105.44,8390.05,10367.1,7687.37,8607.12,8609.91,9829.3,10363.3,10658.9,9264.74,11423,9354.67,10603.7,8826.47,8461.42,8286.08,8698.88,8528.69
"1416677_at",10716,10627.8,9800.69,9870.3,11978.2,10388.2,10279.6,10539.1,11087.2,11451.3,11317.9,9795.31,11321.8,10209.4,11250.2,10052.8,9966.12,10055.2,9690.18,9675.89
"1416678_at",589.1,592.39,450.462,347.432,733.745,551.639,589.786,613.23,673.689,748.309,646.657,670.631,659.459,596.637,701.773,576.354,510.633,542.429,610.808,588.032
"1416679_at",8094.6,8538.35,7552.83,6941.02,9159.39,5866.11,6040.55,5903.74,7102.35,7198.41,6117.79,6405.65,6434.19,6233.68,6097.27,5241.44,5794.4,5743.98,6185.87,5868.52
"1416680_at",603.623,867.767,537.999,482.781,701.001,655.554,929.739,595.28,992.598,1165.47,904.836,930.839,867.943,874.135,1057.52,710.155,691.252,584.711,722.245,703.944
"1416681_at",60.8431,72.115,59.3832,56.5175,133.744,63.9,103.19,83.0812,130.02,162.782,100.099,110.723,135.108,96.3632,153.312,76.7754,66.8003,55.7064,85.9846,100.866
"1416682_at",30.8704,65.6807,29.4968,35.5837,46.5252,35.9653,45.2926,33.2675,65.8639,80.0245,52.4832,58.1539,68.5636,70.4678,79.5777,39.8158,29.5237,45.0057,46.8219,47.698
"1416683_at",502.295,614.612,532.797,499.204,676.195,553.754,680.808,583.076,620.892,652.709,678.829,927.856,675.689,654.344,629.898,650.056,571.938,458.234,601.916,851.97
"1416684_at",309.566,454.083,354.146,321.345,493.408,410.92,489.886,425.269,589.163,596.938,603.491,597.991,661.285,570.828,658.194,475.683,423.845,420.286,475.918,454.743
"1416685_s_at",561.561,609.522,454.7,373.064,825.836,495.063,666.782,505.178,469.753,542.892,600.848,549.42,553.286,477.53,624.958,608.673,464.729,418.13,468.774,632.603
"1416686_at",14.8354,7.20931,10.7027,11.8433,22.9733,10.6013,18.9495,20.0508,30.1427,31.1595,18.6478,29.6806,17.6603,40.0566,24.737,2.26407,11.9603,11.8438,16.8934,22.8155
"1416687_at",3.34648,0.345253,1.13024,2.04172,1.48175,13.8841,17.6001,8.08408,15.3397,9.16495,19.3487,11.1934,5.23293,12.7825,21.1318,1.05519,1.16905,3.7628,4.24799,15.2825
"1416688_at",5.81713,10.7099,7.42543,11.6711,3.1485,3.95711,5.84893,10.2181,9.95611,10.4707,8.95367,8.42054,5.85857,0.836336,0.60719,5.26119,5.01512,3.17587,9.20944,10.6401
"1416689_at",50.9887,65.3105,37.0542,24.6223,42.1198,35.3438,103.228,55.1145,48.9585,73.5149,98.8465,109.5,73.1468,82.59,48.1709,54.9061,51.0585,67.7319,67.0862,86.5454
"1416690_at",124.596,215.568,149.396,117.077,220.305,223.379,354.284,292.074,259.269,294.815,341.144,340.067,296.747,313.772,276.467,218.042,229.002,206.162,230.051,277.674
"1416691_at",18.247,34.6682,25.2386,24.3405,44.7745,45.585,62.4506,47.6581,63.9653,60.9771,72.4912,70.2836,74.237,63.6532,55.6285,36.9627,44.1735,41.0935,31.8448,42.3292
"1416692_at",57.3047,67.839,51.569,52.0072,85.3044,116.45,118.793,107.706,146.795,118.216,139.792,138.086,146.407,135.208,135.964,109.889,83.9255,108.783,118.317,99.1086
"1416693_at",0.656788,0.881615,0.834618,0.595932,0.597605,0.676994,1.20569,2.80255,2.56452,0.619381,2.06202,11.5037,0.787432,2.25909,1.28259,1.44682,5.11545,1.51963,10.0847,2.23258
"1416694_at",2.47728,0.733187,0.501305,2.36682,4.68984,3.02242,4.41874,5.2096,0.623836,4.577,1.63312,4.53199,5.15001,0.327791,7.36839,0.358691,5.39985,3.00376,0.925628,2.08095
"1416695_at",759.179,1242.07,950.018,800.914,1344.56,1022.22,1361.06,1094.59,1327.96,1382.18,1528.04,1439.93,1465.38,1360.01,1517.7,1057.82,944.188,1032.25,1146.99,1106.44
"1416696_at",303.737,406.77,306.678,248.496,506.435,350.718,430.39,349.927,473.972,549.688,546.292,452.51,510.39,498.331,489.41,370.229,342.261,386.401,433.516,362.601
"1416697_at",401.614,624.618,511.469,443.948,610.783,530.859,573.694,682.718,705.232,731.489,605.289,542.126,620.829,588.996,736.676,655.548,637.503,566.008,663.063,589.239
"1416698_a_at",254.782,240.713,166.683,175.413,299.2,321.298,402.817,275.165,365.671,355.462,382.63,334.097,365.054,376.876,396.454,311.79,272.453,250.341,295.935,456.363
"1416699_at",3025.66,3498.49,2915.86,2446.63,3708.17,3209.9,3182.83,3085.71,3966.33,4089.63,3759.38,3494.68,3899.35,3353.26,3958.34,2864.94,2897.25,3109.08,3106.31,3014.43
"1416700_at",160.764,203.072,127.834,121.079,256.002,210.755,356.612,239.211,270.766,437.085,260.703,292.336,240.155,282.156,318.088,179.519,152.393,217.867,183.929,293.884
"1416701_at",40.4095,58.4994,44.2582,42.5614,67.3469,84.7643,112.073,101.113,107.823,119.766,96.7424,125.787,87.6726,95.5013,101.014,52.1983,63.4212,56.4251,59.4757,89.3434
"1416702_at",1.45691,9.44895,3.83877,1.22205,14.4404,22.6702,18.0926,13.153,17.0555,17.8686,20.5793,19.7152,24.7128,24.9738,17.9154,7.60639,15.9799,20.6613,26.7879,29.5506
"1416703_at",841.896,1055.43,917.074,636.145,1138.19,814.156,910.601,790.866,993.407,1067.7,868.824,739.409,874.201,811.279,965.393,710.311,712.193,677.867,757.215,937.476
"1416704_at",32.1032,31.5555,45.6249,29.0279,36.9521,60.2371,50.6407,42.8057,75.609,79.4537,51.3684,32.4178,78.5545,62.8412,69.3781,27.9275,50.4359,49.0122,37.3721,40.7318
"1416705_at",127.023,165.517,111.059,110.351,248.768,232.835,219.399,219.609,335.276,343.82,282.64,234.539,273.748,267.127,327.056,208.103,218.051,205.44,223.809,204.712
"1416706_at",130.755,145.436,121.319,83.2341,180.712,224.337,196.434,263.944,252.489,313.061,229.28,220.566,271.723,217.732,298.995,186.783,180.88,170.444,215.913,189.463
"1416707_a_at",3.21331,12.6725,5.55133,5.40367,18.4557,1.6904,8.20175,7.92015,8.23523,10.6788,16.3726,7.06402,10.2035,21.3146,21.9372,13.4785,7.83573,17.8379,7.06736,12.2944
"1416708_a_at",28.4176,54.3579,47.0027,40.5471,78.7249,59.7317,81.1574,62.2605,66.4975,75.5715,74.6851,83.8751,82.306,92.6583,81.6037,75.9554,65.5272,44.492,71.1337,70.4202
"1416709_a_at",167.862,220.147,166.688,131.305,272.852,256.22,280.355,247.078,252.83,309.325,291.01,284.245,283.819,267.839,304.862,241.66,253.933,205.985,245.297,221.908
"1416710_at",0.528033,0.83762,7.79096,3.15496,1.14902,4.61684,3.35292,0.782688,7.17565,6.74634,4.47363,2.91123,1.20441,0.696628,1.82984,6.52279,0.635116,8.19746,6.41565,8.77536
"1416711_at",0.904023,1.39455,1.81225,1.39423,2.1764,0.712116,2.2807,5.43562,1.47086,3.97946,0.266944,0.691384,7.12338,0.16584,2.75077,1.23599,0.878812,0.469887,0.651208,5.60012
"1416712_at",262.879,367.709,311.855,254.386,351.459,388.327,378.157,388.437,502.969,454.953,407.725,571.93,447.841,467.945,428.934,352.952,380.632,406.158,450.039,419.789
"1416713_at",11.9174,1.18525,2.14936,6.5595,5.62089,9.97263,21.0685,7.76452,2.2995,15.7836,16.8427,16.8224,14.2278,18.9772,6.47232,11.8784,9.61032,12.9001,23.7983,5.21512
"1416714_at",31.3654,45.9064,60.3712,42.8957,71.8608,136.741,283.88,106.75,164.463,141.917,235.756,226.318,106.485,206.657,219.131,168.898,124.853,104.99,98.5396,251.531
"1416715_at",1.53804,2.09603,1.35665,1.64156,10.5682,11.7497,2.36426,6.20693,1.95095,4.68367,2.14145,1.87116,6.09814,2.32766,3.70406,14.2131,2.72392,2.70754,2.0316,7.86773
"1416716_at",16.2489,16.2309,14.2602,11.1485,18.1709,25.6637,20.4989,25.206,39.1863,21.712,33.1051,56.7066,34.3032,40.2916,32.1941,14.0197,17.0044,13.6916,27.6874,33.6337
"1416717_at",0.337152,5.35933,0.264726,0.700891,0.813242,1.17401,1.29084,0.482286,0.727025,0.664137,1.76814,1.66585,6.35506,0.344749,7.27804,1.33185,0.379894,0.999094,0.366588,5.07395
"1416718_at",6.44847,3.29548,21.8999,10.824,21.9381,9.58543,13.3362,15.0164,10.9738,7.45283,11.2896,22.0738,19.1962,29.5654,2.54164,8.52723,15.7601,16.3086,19.4087,14.0563
"1416719_a_at",3660.59,4503.71,3705.82,3207.98,4783.81,3477.49,4575.71,3921.32,4546.34,4582.58,4639.44,4605.86,4540.61,4526.99,4784.9,3680.07,3465.73,4046.39,3999.3,4211.49
"1416720_at",287.551,300.861,248.034,237.678,475.759,330.338,418.014,406.387,536.626,440.171,529.469,525.483,609.92,550.728,452.252,337.414,323.482,314.865,434.545,415.371
"1416721_s_at",961.151,883.719,767.395,738.546,1551.88,957.466,1084.98,986.589,1230.16,1245.97,1595.52,1216.74,1438.25,1110.27,1019.04,1067.62,996.619,962.739,956.827,1272.14
