"GSM2462948","GSM2462949","GSM2462950","GSM2462951","GSM2462952","GSM2462953","GSM2462954","GSM2462955","GSM2462956","GSM2462957","GSM2462958","GSM2462959","GSM2462960","GSM2462961","GSM2462962","GSM2462963","GSM2462964","GSM2462965","GSM2462966","GSM2462967"
"1415701_x_at",6344.89,7274.22,6284.65,5652.73,7459.76,5870.08,7040.69,6007.01,7513.32,7452.94,7799.09,7608.88,7717.99,7379.23,7761.26,6182.71,5637.9,6229.7,6319.8,6627.79
"1415702_a_at",475.33,537.951,470.17,377.962,654.226,642.602,742.005,512.084,850.389,900.455,948.77,851.547,852.817,830.872,904.623,598.823,488.815,560.057,621.598,675.778
"1415703_at",563.459,602.143,473.999,435.251,720.443,514.17,732.025,539.79,737.131,790.2,776.916,697.783,863.776,759.285,741.255,612.746,563.94,622.225,621.773,710.685
"1415704_a_at",1417.46,1649.88,1245.29,1066.32,1763.61,1276.9,1597.56,1356.56,1696.51,1837.98,1650.94,1590.15,1867.52,1704.28,1708.84,1278.68,1248.09,1193.16,1444.96,1513.35
"1415705_at",279.68,366.366,277.031,249.243,315.796,310.125,357.162,323.868,378.32,382.061,461.743,422.618,460.777,367.812,415.169,344.744,296.432,298.629,372.396,348.889
"1415706_at",1205.55,1420.99,1106.29,1210.15,1899.59,1316.17,1523.83,1181.36,1665.53,1854.63,1843.66,1594.89,1738.83,1734.57,1777.5,1381.86,1341.6,1284.87,1514.95,1570.12
"1415707_at",261.113,333.93,301.389,233.076,307.568,305.581,347.833,296.637,377.362,375.01,377.465,435.678,391.773,369.782,397.437,350.364,258.575,276.084,340.42,397.94
"1415708_at",285.567,360.081,315.174,235.218,351.791,357.542,544.413,380.998,529.218,518.772,377.474,435.436,377.956,416.808,437.108,400.907,410.655,360.67,418.701,410.224
"1415709_s_at",225.651,248.335,227.434,194.938,269.221,226.558,243.566,227.497,337.82,367.738,290.77,318.643,312.641,285.422,305.03,239.432,265.473,285.513,280.707,223.614
"1415710_at",152.666,176.766,132.198,113.282,210.766,211.317,207.62,200.048,264.199,272.932,246.175,252.938,232.379,219.641,224.465,187.966,202.077,199.083,207.259,170.399
"1415711_at",446.068,663.473,466.995,495.71,827.305,607.306,773.747,747.801,898.243,895.533,919.916,977.069,884.222,891.605,886.273,616.49,611.184,659.254,767.876,636.523
"1415712_at",295.882,508.613,363.726,303.679,480.438,271.934,342.337,316.312,369.683,426.18,450.654,370.389,447.124,371.618,386.946,343.682,340.196,311.398,341.563,372.791
"1415713_a_at",259.54,334.031,327.362,237.695,383.682,298.67,367.565,293.366,388.901,379.831,354.305,374.147,398.533,384.072,386.589,326.851,305.658,367.182,352.576,296.156
